Sample.num,Sample.name,RT batch,Adjusted Recommend. Dil,Adjusted Recommend. uL,Replicates
12125,UNC_Alz_001,49,10,4,6
12197,UNC_Alz_002,49,10,6,6
12148,UNC_Alz_003,49,1,3,6
12192,UNC_Alz_004,47,"10,000",1,1
